,Code,Transactions
0,110,225480415.94
1,111,144657.0
2,112,5384202.79
3,113,5684627.67
4,114,507209.28
5,115,166213.77
6,116,3537254.17
7,117,7000.0
8,118,34596115.09
9,120,473915.31
10,121,246492.0
11,130,14726889.54
12,131,17196080.19
13,140,22529415.13
14,141,3772278.31
15,142,7788994.46
16,143,1030249.22
17,145,133040.0
18,146,3594026.35
19,148,141278.65
20,151,108066.0
21,161,2549340.77
22,162,224777.6
23,163,3370326.14
24,164,710742.5
25,165,4167108.94
26,171,186942.0
27,172,3768790.14
28,173,5668669.21
29,174,2922414.42
30,176,3630788.25
31,177,517759.78
32,178,683357.44
33,179,163408.0
34,180,8077807.81
35,181,17533634.24
36,184,2026519.72
37,186,6028588.56
38,190,13138669.26
39,191,61670973.45
40,199,3791016.32
41,200,2000.0
42,210,69755580.02
43,220,8405296.33
44,230,89642008.26
45,260,4804124.33
46,290,57670711.26
47,300,103369420.54
48,311,5000.0
49,321,6093756.0
50,322,34088.0
51,330,111280.0
52,332,904.0
53,340,154800.0
54,361,22300.0
55,362,700.0
56,410,11210893.0
57,430,19645245.12
58,432,2078505.55
59,441,1771646.0
60,442,3283225.68
61,443,25461.31
62,444,10000.0
63,490,16000.0
64,519,2781928.4
65,520,4360317.0
66,530,3014408.9
67,532,2417266.94
68,563,2248444.14
69,570,20150000.0
70,580,2654462.67
71,585,36000.0
72,594,133276459.6
73,595,19568159.93
74,596,622460.0
75,610,29368254.11
76,611,305928.98
77,612,8055535.62
78,615,15014881.84
79,616,13271029.21
80,620,19644811.97
81,630,2095880.53
82,635,750000.0
83,640,355189.05
84,641,6242831.0
85,642,3362770.1
86,710,8000.0
87,715,2950165.0
88,720,99942184.06
89,730,16072419.26
90,732,7016000.0
91,734,901367.0
92,810,3656468.71
93,830,4436342.0
94,831,1520349.2
95,880,2814457.21
96,881,42910086.16
97,882,3109447.91
98,890,3051903.2
99,930,255668592.51
