,Code,Transactions,Category_Edstruments,Major_Category_Edstruments,Title,State,district
0,6110,8002.11,Other Salaries,Salaries,Certified Salaries,Arizona,Tolleson
1,6111,4490251.59,Administrative Salaries,Salaries,Administrators,Arizona,Tolleson
2,6112,35105711.03,Teachers Salaries,Salaries,Teachers,Arizona,Tolleson
3,6113,398413.43,Teachers Salaries,Salaries,Substitute Teachers,Arizona,Tolleson
4,6114,4904906.23,Other Salaries,Salaries,Other Salaries,Arizona,Tolleson
5,6150,10156.34,Other Salaries,Salaries,Classified Salaries,Arizona,Tolleson
6,6151,2658644.5,Administrative Salaries,Salaries,Administrators,Arizona,Tolleson
7,6152,2263865.98,Teachers Salaries,Salaries,Teachers,Arizona,Tolleson
8,6153,13410019.71,Teachers Salaries,Salaries,Substitute Teachers,Arizona,Tolleson
9,6154,52735.04,Other Salaries,Salaries,Other Salaries,Arizona,Tolleson
10,6210,4338036.4,Other Employee Benefits,Employee Benefits,Employee Insurance,Arizona,Tolleson
11,6221,3770891.78,Retirement Contributions,Employee Benefits,Social Security—OASDI,Arizona,Tolleson
12,6222,885760.15,Health Insurance/Health Related Benefits,Employee Benefits,Medicare—Hospital Insurance,Arizona,Tolleson
13,6231,7336414.9,Retirement Contributions,Employee Benefits,State Retirement,Arizona,Tolleson
14,6232,102425.02,Other Employee Benefits,Employee Benefits,Long-Term Disability,Arizona,Tolleson
15,6250,102758.44,Unemployment Benefits,Employee Benefits,Unemployment Insurance,Arizona,Tolleson
16,6260,412633.97,Workers Compensation,Employee Benefits,Workers’ Compensation,Arizona,Tolleson
17,6270,448.33,Health Insurance/Health Related Benefits,Employee Benefits,Health Benefits,Arizona,Tolleson
18,6290,17000.0,Other Employee Benefits,Employee Benefits,Other Employee Benefits,Arizona,Tolleson
19,6300,53803.95,Purchased Professional Services,Purchased Professional and Technical Services,PURCHASED PROFESSIONAL AND TECHNICAL SERVICES,Arizona,Tolleson
20,6310,26495.95,Purchased Professional Services,Purchased Professional and Technical Services,Official/Administrative Services,Arizona,Tolleson
21,6320,1572826.35,Purchased Professional Services,Purchased Professional and Technical Services,Professional—Educational Services,Arizona,Tolleson
22,6330,2766579.58,Purchased Professional Services,Purchased Professional and Technical Services,Other Professional Services,Arizona,Tolleson
23,6340,174035.94,Purchased Professional Services,Purchased Professional and Technical Services,Technical Services,Arizona,Tolleson
24,6350,39854.77,Purchased Professional Services,Purchased Professional and Technical Services,Audit Services,Arizona,Tolleson
25,6360,194227.42,Purchased Professional Services,Purchased Professional and Technical Services,Employee Training and Professional Development Services,Arizona,Tolleson
26,6411,666313.48,Utilities/Energy,Purchased Property Services,Water/Sewage,Arizona,Tolleson
27,6420,1333737.53,Maintenance Costs,Purchased Property Services,Cleaning Services,Arizona,Tolleson
28,6421,77108.84,Maintenance Costs,Purchased Property Services,Disposal Services,Arizona,Tolleson
29,6430,470899.24,Maintenance Costs,Purchased Property Services,Repairs and Maintenance Services,Arizona,Tolleson
30,6431,229439.59,Maintenance Costs,Purchased Property Services,Nontechnology-Related Repairs and Maintenance,Arizona,Tolleson
31,6432,91874.0,Maintenance Costs,Purchased Property Services,Technology-Related Repairs and Maintenance,Arizona,Tolleson
32,6440,32168.99,Rentals,Purchased Property Services,Rentals,Arizona,Tolleson
33,6441,74274.4,Rentals,Purchased Property Services,Rental of Land and Buildings,Arizona,Tolleson
34,6442,9326.75,Rentals,Purchased Property Services,Rental of Equipment,Arizona,Tolleson
35,6450,40045411.52,Buildings,Capital,Construction Services,Arizona,Tolleson
36,6490,937.0,Buildings,Capital,Other Purchased Property Services,Arizona,Tolleson
37,6519,116900.19,Busing/Transportation,Purchased Professional and Technical Services,Student Transportation Purchased From Other Sources,Arizona,Tolleson
38,6522,2036376.0,Other Purchased Services,Purchased Professional and Technical Services,Prepaid Insurance,Arizona,Tolleson
39,6531,378177.15,Other Purchased Services,Purchased Professional and Technical Services,Telecommunications,Arizona,Tolleson
40,6532,7129.11,Other Purchased Services,Purchased Professional and Technical Services,Other Communications Services,Arizona,Tolleson
41,6540,39792.41,Other Purchased Services,Purchased Professional and Technical Services,Advertising,Arizona,Tolleson
42,6550,75047.48,Other Purchased Services,Purchased Professional and Technical Services,Printing and Binding,Arizona,Tolleson
43,6561,289849.0,Tuition,Employee Benefits,Tuition to Other Arizona Districts—Tuition,Arizona,Tolleson
44,6563,594665.04,Tuition,Employee Benefits,Tuition to Private Schools,Arizona,Tolleson
45,6580,46715.62,Travel,Purchased Professional and Technical Services,Travel,Arizona,Tolleson
46,6590,6649.0,Other Purchased Services,Purchased Professional and Technical Services,Miscellaneous Purchased Services,Arizona,Tolleson
47,6610,2495432.14,Other Supplies,Supplies,General Supplies,Arizona,Tolleson
48,6611,11400.35,Other Supplies,Supplies,District Supplies,Arizona,Tolleson
49,6612,66169.88,Other Supplies,Supplies,Supplies for Sale or Rental,Arizona,Tolleson
50,6621,49061.65,Utilities/Energy,Purchased Property Services,Natural Gas,Arizona,Tolleson
51,6622,1392016.82,Utilities/Energy,Purchased Property Services,Electricity,Arizona,Tolleson
52,6623,114265.08,Utilities/Energy,Purchased Property Services,Bottled Gas,Arizona,Tolleson
53,6626,25324.35,Utilities/Energy,Purchased Property Services,Unleaded Fuel,Arizona,Tolleson
54,6627,166743.31,Utilities/Energy,Purchased Property Services,Diseal Fuel,Arizona,Tolleson
55,6631,4761.69,Food,Other Financing Uses,USDA Commodities (Excluding Freight),Arizona,Tolleson
56,6633,2348765.6,Food,Other Financing Uses,Other Food,Arizona,Tolleson
57,6641,298676.8,Instructional Curriculum,Supplies,Library Books,Arizona,Tolleson
58,6642,82452.77,Instructional Curriculum,Supplies,Textbooks,Arizona,Tolleson
59,6643,728469.99,Instructional Curriculum,Supplies,Instructional Aids,Arizona,Tolleson
60,6644,8300.39,Instructional Curriculum,Supplies,"Other Books, Periodicals, and Media",Arizona,Tolleson
61,6710,262635.83,Land,Capital,Land and Existing Land Improvements,Arizona,Tolleson
62,6720,10635.0,Buildings,Capital,Buildings,Arizona,Tolleson
63,6731,3036744.85,Machinery and Equipment,Capital,Furniture and Equipment,Arizona,Tolleson
64,6732,1359637.61,Machinery and Equipment,Capital,Furniture and Equipment,Arizona,Tolleson
65,6733,2240840.2,Machinery and Equipment,Capital,Furniture and Equipment,Arizona,Tolleson
66,6736,1668798.32,Machinery and Equipment,Capital,Vehicles,Arizona,Tolleson
67,6737,1036111.96,Machinery and Equipment,Capital,"Technology-Related Hardware and
Software",Arizona,Tolleson
68,6738,1127514.72,Machinery and Equipment,Capital,"Technology-Related Hardware and
Software",Arizona,Tolleson
69,6739,1625758.78,Machinery and Equipment,Capital,"Technology-Related Hardware and
Software",Arizona,Tolleson
70,6810,266178.79,Miscellaneous,Other Financing Uses,Dues and Fees,Arizona,Tolleson
71,6831,7225000.0,Debt Service,Other Financing Uses,Bonds,Arizona,Tolleson
72,6832,1156779.29,Miscellaneous,Other Financing Uses,Other,Arizona,Tolleson
73,6841,5195243.06,Debt Service,Other Financing Uses,Bond,Arizona,Tolleson
74,6842,313302.52,Miscellaneous,Other Financing Uses,Other,Arizona,Tolleson
75,6860,26612.14,Debt Service,Other Financing Uses,Bond Issuance and Other Debt-Related Costs,Arizona,Tolleson
76,6890,455508.18,Miscellaneous,Other Financing Uses,Miscellaneous Expenditures,Arizona,Tolleson
77,XXXX,305318.54,Miscellaneous,Other Financing Uses,*Unable to assign to mapping tool*,Arizona,Tolleson
