,Object_code,Function_code,Title,Category_State,Category_Edstruments,Major_Category_Edstruments,State
0,10,,Regular Teacher,Salaries,Teachers Salaries,Salaries,Alabama
1,11,,Resource Teacher,Salaries,Teachers Salaries,Salaries,Alabama
2,12,,Alternative School Teacher,Salaries,Teachers Salaries,Salaries,Alabama
3,14,,Teacher - Gifted,Salaries,Teachers Salaries,Salaries,Alabama
4,15,,Teacher - Collaborative Special Education,Salaries,Special Education Salaries,Salaries,Alabama
5,16,,Teacher - Collaborative Other,Salaries,Teachers Salaries,Salaries,Alabama
6,18,,Teacher - Retired,Salaries,Teachers Salaries,Salaries,Alabama
7,19,,Teacher - Vacancy,Salaries,Teachers Salaries,Salaries,Alabama
8,21,,Principal (N-12),Salaries,Administrative Salaries,Salaries,Alabama
9,22,,Principal (N-6),Salaries,Administrative Salaries,Salaries,Alabama
10,23,,Principal (4-8),Salaries,Administrative Salaries,Salaries,Alabama
11,24,,Principal (7-12),Salaries,Administrative Salaries,Salaries,Alabama
12,25,,Career/Technical Administrator (School Level),Salaries,Administrative Salaries,Salaries,Alabama
13,31,,Asst Principal (N-12),Salaries,Administrative Salaries,Salaries,Alabama
14,32,,Asst Principal (N-6),Salaries,Administrative Salaries,Salaries,Alabama
15,33,,Asst Principal (4-8),Salaries,Administrative Salaries,Salaries,Alabama
16,34,,Asst Principal (7-12),Salaries,Administrative Salaries,Salaries,Alabama
17,35,,Assistance Career/Technical Administrator (School Level),Salaries,Administrative Salaries,Salaries,Alabama
18,41,,Counselor (N-12),Salaries,Support Staff Salaries,Salaries,Alabama
19,42,,Counselor (N-6),Salaries,Support Staff Salaries,Salaries,Alabama
20,43,,Counselor (4-8),Salaries,Support Staff Salaries,Salaries,Alabama
21,44,,Counselor (7-12),Salaries,Support Staff Salaries,Salaries,Alabama
22,45,,Counselor (10-12),Salaries,Support Staff Salaries,Salaries,Alabama
23,51,,Supervisor of Attendance,Salaries,Support Staff Salaries,Salaries,Alabama
24,52,,Supervisor of Instruction,Salaries,Support Staff Salaries,Salaries,Alabama
25,53,,Supervisor of Child Nutrition,Salaries,Support Staff Salaries,Salaries,Alabama
26,54,,Supervisor of Transportation,Salaries,Support Staff Salaries,Salaries,Alabama
27,56,,Career/Technical Administrator (System Level),Salaries,Administrative Salaries,Salaries,Alabama
28,57,,Asst Career/Technical Administrator (System Level),Salaries,Administrative Salaries,Salaries,Alabama
29,59,,Supervisor - Other,Salaries,Support Staff Salaries,Salaries,Alabama
30,61,,Superintendent,Salaries,Administrative Salaries,Salaries,Alabama
31,62,,Asst Superintendent,Salaries,Administrative Salaries,Salaries,Alabama
32,63,,Administrative Assistant,Salaries,Administrative Salaries,Salaries,Alabama
33,65,,Teacher Leader,Salaries,Administrative Salaries,Salaries,Alabama
34,71,,Librarian (N-12),Salaries,Support Staff Salaries,Salaries,Alabama
35,72,,Librarian (N-6),Salaries,Support Staff Salaries,Salaries,Alabama
36,73,,Librarian (4-8),Salaries,Support Staff Salaries,Salaries,Alabama
37,74,,Librarian (7-12),Salaries,Support Staff Salaries,Salaries,Alabama
38,77,,Mathematics Coach,Salaries,Other Salaries,Salaries,Alabama
39,78,,Science Coach,Salaries,Other Salaries,Salaries,Alabama
40,81,,Coordinator/Director,Salaries,Administrative Salaries,Salaries,Alabama
41,82,,Evaluator,Salaries,Other Salaries,Salaries,Alabama
42,83,,Consulting Teacher,Salaries,Teachers Salaries,Salaries,Alabama
43,84,,Reading Coach,Salaries,Other Salaries,Salaries,Alabama
44,85,,Interpreter of the Hearing Impaired,Salaries,Special Education Salaries,Salaries,Alabama
45,86,,Psychometrist,Salaries,Support Staff Salaries,Salaries,Alabama
46,87,,Psychologist,Salaries,Support Staff Salaries,Salaries,Alabama
47,88,,Coordinator/Asst Coordinator of Special Education,Salaries,Special Education Salaries,Salaries,Alabama
48,89,,Contract Substitute,Salaries,Support Staff Salaries,Salaries,Alabama
49,91,,Speech Pathologist,Salaries,Support Staff Salaries,Salaries,Alabama
50,92,,Speech Pathologist Assistant Certified,Salaries,Support Staff Salaries,Salaries,Alabama
51,93,,Dyslexia Therapist,Salaries,Support Staff Salaries,Salaries,Alabama
52,97,,Technology Coordinator - Certified,Salaries,Support Staff Salaries,Salaries,Alabama
53,98,,Other Certified Vacancy,Salaries,Other Salaries,Salaries,Alabama
54,99,,Other Certified - Retired,Salaries,Other Salaries,Salaries,Alabama
55,101,,Instruction Assistant,Salaries,Support Staff Salaries,Salaries,Alabama
56,102,,Health Assistant,Salaries,Support Staff Salaries,Salaries,Alabama
57,103,,Bus Assistant,Salaries,Support Staff Salaries,Salaries,Alabama
58,104,,Student Assistant,Salaries,Support Staff Salaries,Salaries,Alabama
59,105,,Media Assistant,Salaries,Support Staff Salaries,Salaries,Alabama
60,106,,Intern,Salaries,Support Staff Salaries,Salaries,Alabama
61,107,,Adjunct Teacher,Salaries,Teachers Salaries,Salaries,Alabama
62,109,,Other Assistant,Salaries,Support Staff Salaries,Salaries,Alabama
63,111,,Coordinator/Asst. Coordinator,Salaries,Other Salaries,Salaries,Alabama
64,112,,Career Coach,Salaries,Other Salaries,Salaries,Alabama
65,113,,Supervisor/Asst. Supervisor,Salaries,Administrative Salaries,Salaries,Alabama
66,114,,Technology Coordinator - Support,Salaries,Support Staff Salaries,Salaries,Alabama
67,115,,Manager/Asst. Manager,Salaries,Administrative Salaries,Salaries,Alabama
68,116,,Chief School Financial Officer,Salaries,Administrative Salaries,Salaries,Alabama
